Law,Scale,Threads,Operation,TimeSeq,TimePar,Speedup,Efficiency
Gustafson,scale_1.0x,1,Erosione,5.54233,5.71378,0.969993,0.969993
Gustafson,scale_1.0x,1,Dilatazione,5.46084,5.53137,0.98725,0.98725
Gustafson,scale_1.0x,1,Opening,10.4061,10.4974,0.991294,0.991294
Gustafson,scale_1.0x,1,Closing,10.352,10.4183,0.993636,0.993636
Gustafson,scale_2.0x,4,Erosione,20.4989,6.52897,3.13969,0.784922
Gustafson,scale_2.0x,4,Dilatazione,20.4693,6.22554,3.28796,0.82199
Gustafson,scale_2.0x,4,Opening,41.1461,12.784,3.21857,0.804643
Gustafson,scale_2.0x,4,Closing,40.717,12.6747,3.21246,0.803114
Gustafson,scale_4.0x,16,Erosione,77.2055,19.1034,4.04144,0.25259
Gustafson,scale_4.0x,16,Dilatazione,77.8016,19.0143,4.09175,0.255735
Gustafson,scale_4.0x,16,Opening,154.703,39.7974,3.88725,0.242953
Gustafson,scale_4.0x,16,Closing,155.937,39.6707,3.93078,0.245674
