Test,Scale,KernelSize,Threads,Operation,TotalTimeStandard,TotalTimeSeparable,SeparableSpeedup
Separable Evaluation,scale_2.0x,3,8,Erosione,4.65472,2.57057,1.81077
Separable Evaluation,scale_2.0x,3,8,Dilatazione,4.7036,2.48251,1.8947
Separable Evaluation,scale_2.0x,3,8,Opening,9.94352,5.28515,1.88141
Separable Evaluation,scale_2.0x,3,8,Closing,9.9857,5.41859,1.84286
Separable Evaluation,scale_2.0x,7,8,Erosione,27.4788,6.56779,4.18387
Separable Evaluation,scale_2.0x,7,8,Dilatazione,27.9896,6.62615,4.22411
Separable Evaluation,scale_2.0x,7,8,Opening,57.6532,13.6049,4.23767
Separable Evaluation,scale_2.0x,7,8,Closing,60.6408,14.0598,4.31305
Separable Evaluation,scale_2.0x,11,8,Erosione,69.7679,10.9045,6.3981
Separable Evaluation,scale_2.0x,11,8,Dilatazione,70.6983,10.9902,6.43286
Separable Evaluation,scale_2.0x,11,8,Opening,150.508,23.442,6.42041
Separable Evaluation,scale_2.0x,11,8,Closing,188.961,29.9889,6.30103
Separable Evaluation,scale_2.0x,15,8,Erosione,168.929,19.8988,8.48942
Separable Evaluation,scale_2.0x,15,8,Dilatazione,162.376,19.176,8.46769
Separable Evaluation,scale_2.0x,15,8,Opening,341.745,38.6932,8.83218
Separable Evaluation,scale_2.0x,15,8,Closing,328.693,37.5547,8.75239
