Test,Scale,Threads,Operation,TimeSeq,TimePar,Speedup,Efficiency
Strong Scaling,scale_2.0x,1,Erosione,19.3715,19.3341,1.00194,1.00194
Strong Scaling,scale_2.0x,1,Dilatazione,19.1123,19.2187,0.994467,0.994467
Strong Scaling,scale_2.0x,1,Opening,38.5966,38.4118,1.00481,1.00481
Strong Scaling,scale_2.0x,1,Closing,38.4872,38.2853,1.00527,1.00527
Strong Scaling,scale_2.0x,2,Erosione,19.366,10.0167,1.93337,0.966687
Strong Scaling,scale_2.0x,2,Dilatazione,19.7588,10.4504,1.89072,0.945359
Strong Scaling,scale_2.0x,2,Opening,38.7781,20.1302,1.92636,0.963182
Strong Scaling,scale_2.0x,2,Closing,38.78,20.1294,1.92653,0.963265
Strong Scaling,scale_2.0x,4,Erosione,20.3174,6.46912,3.14068,0.78517
Strong Scaling,scale_2.0x,4,Dilatazione,19.9863,6.42214,3.1121,0.778024
Strong Scaling,scale_2.0x,4,Opening,39.5821,12.2366,3.23473,0.808683
Strong Scaling,scale_2.0x,4,Closing,41.6224,13.4196,3.1016,0.775401
Strong Scaling,scale_2.0x,8,Erosione,19.9586,4.38886,4.54755,0.568443
Strong Scaling,scale_2.0x,8,Dilatazione,19.9576,4.48819,4.44668,0.555835
Strong Scaling,scale_2.0x,8,Opening,39.7192,8.72535,4.55216,0.56902
Strong Scaling,scale_2.0x,8,Closing,39.8688,8.72899,4.5674,0.570926
Strong Scaling,scale_2.0x,16,Erosione,19.9425,4.38071,4.55235,0.284522
Strong Scaling,scale_2.0x,16,Dilatazione,20.0753,4.54083,4.42107,0.276317
Strong Scaling,scale_2.0x,16,Opening,39.8154,8.67392,4.59024,0.28689
Strong Scaling,scale_2.0x,16,Closing,39.676,8.66171,4.58061,0.286288
Strong Scaling,scale_2.0x,32,Erosione,19.8734,4.31538,4.60526,0.143914
Strong Scaling,scale_2.0x,32,Dilatazione,20.2611,4.41159,4.59269,0.143522
Strong Scaling,scale_2.0x,32,Opening,41.2472,9.05625,4.55456,0.14233
Strong Scaling,scale_2.0x,32,Closing,39.7646,8.61253,4.61706,0.144283
